갈,40.59,15.17,33.75
갈,40.54,23.76,40.34
갈,40.48,34.19,45.69
갈회,61.03,1.51,6.61
갈흑,20.19,3.92,4.08
검정,0,0,0
검정,20.25,-1.4,-4.28
겨자,70.82,-0.93,70.68
고동,20.1,16.94,14.08
국방,30.43,-14.73,21.42
군청,20.22,15.65,-33.85
남,20.23,10.83,-25.97
남청,20.3,5.34,-35.41
노랑,80.48,-2.07,84.58
녹회,51.01,-3.57,5.82
녹회,61.06,-3.94,6.68
다홍,50.77,44.31,14.31
다홍,50.65,57.89,41.2
모카,30.33,3.95,25.25
밝은 갈,50.83,18.8,46.13
밝은 갈,50.73,31.56,63.18
밝은 남,30.38,13.56,-34.25
밝은 남,30.37,23.15,-49.02
밝은 남,40.74,11.01,-32.47
밝은 남,40.74,14.49,-40.14
밝은 남,40.74,18.27,-47.42
밝은 녹갈,51.07,-14.35,40.68
밝은 녹갈,51.04,-10.52,57.29
밝은 보라,50.97,15.8,-29.78
밝은 보라,50.86,34.79,-24.46
밝은 보라,60.95,22.04,-10.8
밝은 보라,60.9,34.06,-23.81
밝은 분홍,80.48,5.91,4.23
밝은 연두,80.77,-39.8,53.67
밝은 적갈,40.61,17.7,14.09
밝은 적갈,40.52,32.84,28.87
밝은 적갈,40.44,46.67,46.02
밝은 주황,70.62,32.67,43.67
밝은 주황,70.56,35.47,75.55
밝은 초록,51.29,-42.86,13.22
밝은 초록,51.45,-56.82,48.52
밝은 초록,61.39,-50.2,-7.16
밝은 초록,71.15,-42.39,14.43
밝은 파랑,51.07,0.79,-31.7
밝은 파랑,51.15,-6.04,-39.3
밝은 파랑,51.3,-29.36,-32.82
밝은 파랑,61.12,0.23,-31.07
밝은 파랑,61.2,-7.04,-38.5
밝은 파랑,61.35,-30.43,-31.7
밝은 회녹,70.93,-11.94,3.22
밝은 회녹,71.14,-41.4,22.3
밝은 회녹,80.6,-12.55,3.47
밝은 회보라,60.99,19.15,-26.6
밝은 회보라,70.85,4.36,-5
밝은 회보라,80.52,2.93,-4.71
밝은 회분홍,70.84,6.35,-1.57
밝은 회,75,0,0
밝은 회청,70.91,-3.5,-6.02
밝은 회청,80.57,-3.62,-5.53
밝은 회황,80.5,2.16,13.23
밤,30.21,19.48,29.64
백옥,90.25,-13.1,7.58
